sku;short_description;adapt;regular_price
DS8000-R-PWR;Built-in Power Analysis;DS8000-R; 159 636 ? 
DS9000-10MAUTOC;10M-BaseT1S Automotive Ethernet Compliance;DS9000; 777 762 ? 
DS9000-10MINDUC;10M Industrial Ethernet Compliance(T1L);DS9000; 777 762 ? 
DS9000-ADVJITTA;Advanced Jitter and Eye;DS9000; 1 299 822 ? 
DS9000-AEROA;MIL-STD-1553 Protocol Triggering and Decoding;DS9000; 156 094 ? 
DS9000-AUDIOA;Audio Bus I2S Protocol Triggering and Decoding;DS9000; 156 094 ? 
DS9000-AUTOA;Automotive Serial Bus CAN-FD, LIN Triggering and Decoding;DS9000; 156 094 ? 
DS9000-AUTOC;Automotive Ethernet Protocol Conformance Test (Host Computer APP);DS9000; 1 038 792 ? 
DS9000-BND;DS9000 Series Function Upgrade Total Package Bundle Option,includes all decoding options;DS9000; 386 324 ? 
DS9000-DPHY12C;MIPI D-PHY v1.2 Conformance Test (Host Computer APP);DS9000; 1 038 792 ? 
DS9000-ENETC;100/1000M Ethernet Protocol Conformance Test (Host Computer APP);DS9000; 1 299 822 ? 
DS9000-EYEA;Eye Diagram Analysis Option;DS9000; 417 124 ? 
DS9000-FlexA;Flexray Protocol Triggering and Decoding;DS9000; 156 094 ? 
DS9000-JITTA;Eye Diagram and Jitter Analysis Option;DS9000; 1 038 792 ? 
DS9000-PWRA;Power Analysis Option;DS9000; 333 995 ? 
DS9000-SENTA;SENT Decoding;DS9000; 156 094 ? 
DS9000-UPADVJITTA;UP to Advanced Jitter and Eye;DS9000; 333 995 ? 
DS9000-USBSQA;USB2.0 Protocol Signal Quality Test (Host Computer APP);DS9000; 516 732 ? 
DS9004-RLU-20;4CH Model Storage Depth Upgrade Option;DS9000; 391 037 ? 
DSA Utility Kit;Include: N-SMA Cable, BNC-BNC Cable, N-BNC Adapter, N-SMA Adapter, 75 ? to 50 ? Adapter, 900 MHz/1.8 GHz Antenna (2pcs), 2.4 GHz Antenna (2pcs);DSA,DG; 117 286 ? 
DSG3000B-PUG;DSG3000B Multi-pulse modulation and pulse generator options;?????; 90 059 ? 
DSG800-PUG;Pulse Modulation and pulse generator;DSG800; 117 286 ? 
DSG800-PUM;Pulse Modulation;DSG800; 90 059 ? 
ECAL109-NF2;Electronic Calibration Module, 100 kHz ~ 9 GHz, Type-N (f), 50 ?, 2 ports;Vector Network Analyzer; 623 484 ? 
ECAL114-NF2;Electronic Calibration Module, 100 kHz ~ 14 GHz, Type-N (f), 50 ?, 2 ports;Vector Network Analyzer; 692 784 ? 
ECAL126-35F2;Electronic Calibration Module, 100 kHz ~ 26.5 GHz, 3.5 mm (f), 2 ports;Vector Network Analyzer; 946 884 ? 
ECAL304-NF2;Basic ECal, 100 kHz ~ 4.5 GHz, Type-N (f), 50 ?, 2 ports;Calibration Kit; 157 080 ? 
ECAL304-SF2;Basic ECal, 100 kHz ~ 4.5 GHz, SMA (f), 50 ?, 2 ports;Calibration Kit; 157 080 ? 
ECAL309-NF2;Basic ECal, 100 kHz ~ 9 GHz, Type-N (f), 50 ?, 2 ports;Calibration Kit; 249 480 ? 
ECAL309-SF2;Basic ECal, 100 kHz ~ 9 GHz, SMA (f), 50 ?, 2 ports;Calibration Kit; 249 480 ? 
ECAL314-NF2;Basic ECal, 100 kHz ~ 14 GHz, Type-N (f), 50 ?, 2 ports;Calibration Kit; 411 180 ? 
ECAL314-SF2;Basic ECal, 100 kHz ~ 14 GHz, SMA (f), 50 ?, 2 ports;Calibration Kit; 411 180 ? 
ECAL404-NF2;Basic ECal, DC ~ 4.5 GHz, Type-N (f), 50 ?, 2 ports;Calibration Kit; 157 080 ? 
ECAL404-SF2;Basic ECal, DC ~ 4.5 GHz, SMA (f), 50 ?, 2 ports;Calibration Kit; 157 080 ? 
ECAL409-NF2;Basic ECal, DC ~ 9 GHz, Type-N (f), 50 ?, 2 ports;Calibration Kit; 249 480 ? 
ECAL409-SF2;Basic ECal, DC ~ 9 GHz, SMA (f), 50 ?, 2 ports;Calibration Kit; 249 480 ? 
ECAL414-NF2;Basic ECal, DC ~ 14 GHz, Type-N (f), 50 ?, 2 ports;Calibration Kit; 411 180 ? 
ECAL414-SF2;Basic ECal, DC ~ 14 GHz, SMA (f), 50 ?, 2 ports;Calibration Kit; 411 180 ? 
EMI-DSA800;EMI Filter > Quasi-Peak Detector;DSA800; 96 342 ? 
