sku,title,category,brand,freq_range,output_power,type,standards,short_description,source_url
2509121,Emctestlab M001M001-200L,power-amplifiers,Emctestlab,1 МГц,200 Вт,Усилитель мощности твердотельный,,Узкополосный твердотельный усилитель мощности в 19″ корпусе — облегчённая версия для лабораторных и ЭМС-задач по сниженной цене.,https://www.emctestlab.ru/catalog/amplifiers/m001m001_200l-4015/
250901,Emctestlab G310G350-200L,power-amplifiers,Emctestlab,"3,1 ГГц – 3,5 ГГц",200 Вт,Усилитель мощности твердотельный,,Узкополосный твердотельный усилитель мощности в 19″ корпусе — облегчённая версия для лабораторных и ЭМС-задач по сниженной цене.,https://www.emctestlab.ru/catalog/amplifiers/g310g350_200l-4014/
250911,Emctestlab M030M512-200L,power-amplifiers,Emctestlab,30 МГц – 512 МГц,200 Вт,Усилитель мощности твердотельный,,Узкополосный твердотельный усилитель мощности в 19″ корпусе — облегчённая версия для лабораторных и ЭМС-задач по сниженной цене.,https://www.emctestlab.ru/catalog/amplifiers/m030m512_200l-4012/
AG0500,Emctestlab K150M80-150L,power-amplifiers,Emctestlab,150 кГц – 80 МГц,150 Вт,Усилитель мощности твердотельный,"IEC 61000-4-6, ГОСТ Р 51317.4.6, IEC 61000-4-20 (TEM), MIL-STD-461 CS114, ГОСТ РВ 6601-001 ВП2, ГОСТ РВ 6601-001 ВИ1, RTCA/DO-160 Section 20 (S), ГОСТ Р 56529 Приложение М (CS114), ISO 11451-2, ISO 11452-2, ISO 11452-3, CISPR 24 (ОИТ, S), CISPR 35 (multimedia, S)",Узкополосный твердотельный усилитель мощности в 19″ корпусе — облегчённая версия для лабораторных и ЭМС-задач по сниженной цене.,https://www.emctestlab.ru/catalog/amplifiers/k150m80_150l-3365/
2510092,Emctestlab M400G002-20M,power-amplifiers,Emctestlab,400 МГц – 2 ГГц,10 Вт,Усилительный модуль,ISO 11452-3,Трёхканальный усилительный модуль Ku-диапазона мощностью 20 Вт для задач подавления сигналов.,https://www.emctestlab.ru/catalog/amplifiers/m400p002_20m-4112/
2510091,Emctestlab M142M153-10M,power-amplifiers,Emctestlab,"1,42 ГГц – 1,45 ГГц",10 Вт,Усилительный модуль,,"Усилительный модуль 1420–1530 МГц мощностью 10 Вт для повышения помехоустойчивости канала видеопередачи БПЛА (CoFDM, до 25 Мбит/с).",https://www.emctestlab.ru/catalog/amplifiers/m142m153_10m-4111/
2510018,Emctestlab G002G004-50M,power-amplifiers,Emctestlab,2 ГГц – 4 ГГц,50 Вт,Усилительный модуль,,Широкополосный усилительный модуль 2–4 ГГц мощностью 50 Вт в прочном металлическом корпусе с дистанционным управлением.,https://www.emctestlab.ru/catalog/amplifiers/g002g004_50m-4081/
2510017,Emctestlab G240G250-50M,power-amplifiers,Emctestlab,"2,4 ГГц – 2,5 ГГц",50 Вт,Усилительный модуль,,"Модуль подавления Wi-Fi/Bluetooth и сигналов дронов в диапазоне 2400–2500 МГц мощностью 50 Вт, локальное и удалённое управление.",https://www.emctestlab.ru/catalog/amplifiers/g240g250_50m-4080/
2510016,Emctestlab M900G001-50M,power-amplifiers,Emctestlab,"900 МГц – 1,02 ГГц",50 Вт,Усилительный модуль,,Высокоточный модуль подавления дронов 900–1020 МГц мощностью 50 Вт в прочном корпусе с высокой устойчивостью к помехам.,https://www.emctestlab.ru/catalog/amplifiers/m900g001_50m-4079/
EM250318,Emctestlab M002M026-100L,power-amplifiers,Emctestlab,2 МГц – 26 МГц,100 Вт,Усилитель мощности твердотельный,"IEC 61000-4-20 (TEM), IEC 61000-4-39, RTCA/DO-160 Section 20 (S), ISO 11451-2","Широкополосный твердотельный усилитель мощности в стандартном 19″ корпусе для лабораторных ЭМС-испытаний, антенных измерений и связи.",https://www.emctestlab.ru/catalog/amplifiers/m002m026_100l-3953/
EM1217,Emctestlab M020G001-10M,power-amplifiers,Emctestlab,20 МГц – 1 ГГц,10 Вт,Усилительный модуль,"ISO 11452-3, ISO 11452-5","Недорогой твердотельный усилительный модуль (LDMOS/GaN/GaAs) класса A/AB с высоким усилением и хорошей линейностью для телеметрии, связи, радиолокации и ЭМС-испытаний.",https://www.emctestlab.ru/catalog/amplifiers/m020g001_10m-3270/
ES1002,Emctestlab G001G002,power-amplifiers,Emctestlab,1 ГГц – 2 ГГц,"460 Вт, 500 Вт",Усилитель мощности твердотельный,"IEC 61000-4-3, ГОСТ Р 51317.4.3, IEC 61000-4-20 (TEM), IEC 61000-4-21 (Reverb), IEC 61000-4-39, MIL-STD-461 RS103, ГОСТ РВ 6601-001 ВИ1, RTCA/DO-160 Section 20 (S), ISO 11451-2","Широкополосный твердотельный усилитель мощности в стандартном 19″ корпусе для лабораторных ЭМС-испытаний, антенных измерений и связи.",https://www.emctestlab.ru/catalog/amplifiers/g001g002-3008/?oid=3498
AG1103,Emctestlab G006G018,power-amplifiers,Emctestlab,6 ГГц – 18 ГГц,"125 Вт, 250 Вт",Усилитель мощности твердотельный,"IEC 61000-4-3, ГОСТ Р 51317.4.3, IEC 61000-4-20 (TEM), IEC 61000-4-21 (Reverb), MIL-STD-461 RS103, ГОСТ РВ 6601-001 ВИ1, RTCA/DO-160 Section 20 (S), ГОСТ Р 56529 Приложение П (RS103), ISO 11451-2","Широкополосный твердотельный усилитель мощности в стандартном 19″ корпусе для лабораторных ЭМС-испытаний, антенных измерений и связи.",https://www.emctestlab.ru/catalog/amplifiers/g006g018-3237/?oid=3492
ES1005,Emctestlab G001G004-1000L,power-amplifiers,Emctestlab,1 ГГц – 4 ГГц,1 кВт,Усилитель мощности твердотельный,"MIL-STD-461 RS103, ГОСТ РВ 6601-001 ВИ1, RTCA/DO-160 Section 20 (S), ГОСТ Р 56529 Приложение П (RS103), ISO 11451-2","Широкополосный твердотельный усилитель мощности в стандартном 19″ корпусе для лабораторных ЭМС-испытаний, антенных измерений и связи.",https://www.emctestlab.ru/catalog/amplifiers/g001g004_1000L-3011/
ES1003,Emctestlab G002G006,power-amplifiers,Emctestlab,2 ГГц – 6 ГГц,"150 Вт, 400 Вт",Усилитель мощности твердотельный,"IEC 61000-4-3, ГОСТ Р 51317.4.3, IEC 61000-4-20 (TEM), MIL-STD-461 RS103, ГОСТ РВ 6601-001 ВИ1, RTCA/DO-160 Section 20 (S), ГОСТ Р 56529 Приложение П (RS103), ISO 11451-2","Широкополосный твердотельный усилитель мощности в стандартном 19″ корпусе для лабораторных ЭМС-испытаний, антенных измерений и связи.",https://www.emctestlab.ru/catalog/amplifiers/g002g006-3010/?oid=3488
